Topic 0	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6
0.41259465	0.001577243	0.00157616	0.001576338	0.29763368	0.001576603	0.28346536
0.5776534	0.001575272	0.001575756	0.21727854	0.05473131	0.14560787	0.001577852
0.44159806	0.00131561	0.001315786	0.001317245	0.001316802	0.22311205	0.33002445
0.3424477	0.005728935	0.005728617	0.005741374	0.62887543	0.005737909	0.005740059
0.001166911	0.001166666	0.001166424	0.14076583	0.00116663	0.0011658	0.8534017
0.67684036	0.000551303	0.000551554	0.061775718	0.07972003	0.18000916	0.000551861
0.04893735	0.23110439	0.000811078	0.16368537	0.1581471	0.3965038	0.00081095
0.3902842	0.002316614	0.002317181	0.31423482	0.05980842	0.2287241	0.002314603
0.001750541	0.001751383	0.001751387	0.5446397	0.44660667	0.00175053	0.001749787
0.2847286	0.002353063	0.002353858	0.5216304	0.1842302	0.002352571	0.00235128
0.001226419	0.54721713	0.001227006	0.4466496	0.001226007	0.001226889	0.001226913
0.000721616	0.04117017	0.000721106	0.5899197	0.3483175	0.018429	0.000720922
0.0018187	0.001818564	0.001817329	0.001816767	0.9890938	0.001817758	0.001817144
0.001491596	0.9910463	0.001495087	0.001492985	0.001491893	0.001492145	0.001489972
0.001049784	0.55671895	0.001047596	0.42479786	0.001049409	0.014288171	0.001048189
0.000885399	0.40699533	0.000885709	0.0353122	0.09905684	0.4559789	0.00088564
0.90433884	0.001508948	0.001509702	0.001510876	0.00151038	0.001509756	0.08811151
0.000689723	0.53927165	0.000689949	0.27268636	0.00069029	0.18528217	0.000689838
0.42281017	0.002240482	0.27921927	0.28900328	0.002241882	0.002242171	0.002242717
0.05494951	0.000682629	0.00068251	0.78054327	0.12498287	0.000683369	0.03747585
0.77527285	0.001544913	0.001544473	0.13318464	0.001543945	0.08536707	0.001542154
0.00115816	0.001156592	0.001156811	0.95546204	0.001156361	0.001156762	0.038753264
0.5739915	0.080617614	0.001816519	0.001816979	0.19919781	0.1407438	0.001815836
0.000717239	0.031476792	0.16581474	0.5528906	0.24766526	0.000717661	0.000717718
0.5535944	0.00116554	0.001165708	0.20417228	0.100314766	0.02063866	0.118948616
0.00140845	0.42741185	0.001408332	0.5655514	0.001406786	0.001407581	0.001405625
0.000501165	0.282149	0.000501335	0.71534365	0.000501665	0.000501596	0.000501582
0.001507195	0.9909503	0.001511144	0.001509265	0.001507794	0.001508227	0.00150612
0.00089637	0.26408574	0.000896939	0.49094298	0.24138437	0.000897044	0.000896595
0.00080097	0.51255	0.000801757	0.44925588	0.000801804	0.03498871	0.000800874
0.000937712	0.0996757	0.26749974	0.30757242	0.063001655	0.2603753	0.000937483
0.002393277	0.26014322	0.002390606	0.7278971	0.002390347	0.002390649	0.002394801
0.001612308	0.328922	0.001611802	0.18386574	0.06297074	0.41940835	0.001609009
0.43124256	0.5634395	0.001063633	0.001063871	0.001063411	0.001064255	0.001062777
0.37090465	0.43334633	0.001393018	0.001393596	0.001394047	0.19017595	0.001392388
0.52218884	0.000829674	0.000828433	0.2059053	0.006988047	0.26243153	0.000828119
