UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r430	30.0	3.4	1.6	3.0	50.0	70.0
r392	22.0	2.8	2.0	3.25	52.0	71.0
r31	25.0	3.2	1.4	2.25	40.0	71.0
r436	33.0	3.0	1.2	2.5	50.0	60.0
r287	39.0	2.8	1.0	2.5	45.0	63.0
r230	37.0	2.8	1.0	2.75	38.0	62.0
r208	35.0	4.0	1.0	3.5	40.0	60.0
r442	32.0	4.0	2.0	3.0	40.0	60.0
r9	31.0	4.0	1.0	2.5	41.0	60.0
r374	20.0	3.4	1.0	3.25	50.0	60.0
r36	21.0	3.0	1.4	2.75	50.0	60.0
r388	22.0	3.0	1.2	2.0	40.0	60.0
r416	24.0	3.0	1.4	2.5	40.0	59.0
r2	25.0	3.2	1.2	2.75	40.0	60.0
r435	25.0	3.0	1.0	2.25	60.0	80.0
r78	39.0	2.8	1.0	1.75	51.0	89.0
r461	34.0	3.6	1.2	2.0	65.0	85.0
r327	42.0	3.6	1.0	2.75	60.0	80.0
r141	48.0	4.0	1.0	3.0	61.0	89.0
r451	28.0	2.6	1.0	3.5	80.0	80.0
r338	41.0	3.2	1.0	2.75	75.0	84.0
r225	42.0	2.8	1.0	3.5	78.0	75.0
r249	53.0	2.2	1.0	1.5	87.0	70.0
r120	43.0	3.8	2.0	3.0	70.0	65.0
r226	33.0	4.0	1.6	3.0	70.0	71.0
r192	38.0	3.0	1.0	3.25	66.0	70.0
r361	43.0	2.0	1.0	2.5	60.0	70.0
r267	41.0	3.6	1.6	4.0	60.0	70.0
r262	44.0	3.2	1.2	3.5	60.0	65.0
r257	44.0	2.4	1.0	2.5	60.0	60.0
r63	42.0	3.8	2.0	3.0	65.0	60.0
r214	34.0	3.0	1.0	2.25	66.0	52.0
r418	34.0	3.0	1.0	3.0	60.0	60.0
r200	35.0	2.4	1.0	2.5	60.0	60.0
r473	28.0	3.6	1.0	3.25	70.0	60.0
r56	25.0	2.4	1.6	3.25	70.0	60.0
r437	27.0	3.6	2.0	3.25	75.0	45.0
r58	25.0	3.8	1.2	3.25	80.0	50.0
r384	21.0	2.8	1.4	3.25	65.0	50.0
r406	20.0	3.6	1.8	3.5	10.0	60.0
r399	21.0	3.8	1.2	3.25	15.0	60.0
r237	24.0	3.0	1.8	2.75	15.0	60.0
r239	20.0	4.0	2.6	3.0	25.0	60.0
r393	22.0	2.4	1.8	2.75	20.0	65.0
r450	27.0	4.0	1.0	3.5	25.0	45.0
r457	26.0	3.8	1.8	1.75	20.0	40.0
r290	22.0	3.8	1.6	3.5	30.0	40.0
r218	23.0	3.8	1.6	2.75	30.0	40.0
r395	22.0	3.2	1.6	2.5	27.0	50.0
r202	22.0	4.0	1.0	3.25	25.0	50.0
r448	23.0	4.0	2.8	3.5	30.0	50.0
r382	22.0	3.4	1.8	2.5	30.0	60.0
r52	26.0	2.8	1.2	2.5	30.0	60.0
r196	25.0	3.2	2.4	3.0	30.0	55.0
r35	29.0	2.8	2.0	3.25	29.0	56.0
r181	46.0	4.0	1.4	3.0	25.0	50.0
r232	42.0	3.2	1.2	3.0	30.0	50.0
r231	39.0	3.2	1.0	3.25	30.0	50.0
r252	39.0	3.4	1.0	3.75	20.0	50.0
r463	32.0	2.6	2.0	2.5	28.0	47.0
r235	35.0	4.0	1.0	3.0	28.0	49.0
r20	34.0	4.0	1.6	3.5	25.0	50.0
r180	33.0	3.0	2.0	3.0	25.0	60.0
r71	36.0	3.0	1.0	3.0	25.0	60.0
r309	38.0	2.6	1.2	3.0	20.0	60.0
r369	32.0	3.2	2.0	2.25	18.0	59.0
r15	34.0	3.4	1.6	3.0	20.0	60.0
r246	53.0	3.6	1.6	2.5	20.0	40.0
r245	52.0	2.6	1.2	2.25	20.0	39.0
r334	34.0	3.2	1.0	2.75	13.0	40.0
r160	37.0	3.2	2.2	2.5	7.0	38.0
r260	42.0	3.6	2.0	3.5	15.0	40.0
r13	42.0	3.0	1.4	3.25	20.0	44.0
r483	28.0	2.8	1.0	1.75	7.0	31.0
r389	21.0	3.6	2.4	2.5	10.0	32.0
r403	21.0	3.8	1.0	2.75	0.0	30.0
r405	20.0	3.4	1.0	2.75	5.0	30.0
r276	31.0	4.0	2.2	3.75	1.0	41.0
r299	28.0	3.6	2.4	3.5	4.0	44.0
r439	25.0	3.0	2.6	3.0	0.0	40.0
r459	27.0	4.0	1.6	3.25	0.0	40.0
r475	34.0	3.8	1.8	3.25	0.0	35.0
r148	31.0	3.0	2.0	3.5	2.0	35.0
r44	31.0	4.0	1.6	3.5	0.0	30.0
r472	27.0	4.0	2.4	2.5	0.0	50.0
r487	27.0	3.0	1.2	2.5	1.0	50.0
r467	26.0	3.0	2.0	3.75	3.0	50.0
r441	24.0	3.4	1.0	2.75	0.0	50.0
r417	24.0	4.0	1.4	3.0	0.0	49.0
r156	25.0	3.0	2.0	3.25	0.0	50.0
r454	24.0	3.2	2.0	2.75	1.0	52.0
r133	25.0	4.0	1.2	3.0	1.0	52.0
r370	19.0	3.4	2.0	3.25	0.0	45.0
r462	24.0	2.8	1.4	3.0	10.0	47.0
r324	43.0	3.0	1.8	2.25	0.0	59.0
r294	42.0	4.0	1.8	3.25	1.0	60.0
r265	40.0	4.0	2.0	3.25	3.0	60.0
r306	39.0	3.6	2.0	3.25	0.0	50.0
r486	34.0	3.6	1.0	3.0	2.0	50.0
r331	36.0	3.0	1.0	3.5	1.0	50.0
r125	36.0	3.0	1.4	3.25	0.0	50.0
