性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	39.0	3.8	1.6	3.5	40.0	30.0
1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	44.0	3.0	1.0	2.25	80.0	50.0
0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	38.0	4.0	1.0	3.75	30.0	30.0
0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	39.0	2.8	1.0	1.75	51.0	89.0
0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	43.0	3.2	1.4	2.5	5.0	80.0
1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	77.0	3.2	1.2	2.75	40.0	70.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	35.0	3.8	1.2	3.25	1.0	70.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	29.0	2.6	2.0	3.25	50.0	50.0
0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	30.0	3.2	1.8	3.25	0.0	60.0
1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	34.0	4.0	1.0	3.5	0.0	0.0
1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	53.0	2.8	1.8	3.25	10.0	65.0
1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	57.0	2.6	1.4	3.25	60.0	15.0
1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	39.0	2.0	1.0	2.75	50.0	50.0
0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	41.0	3.6	1.0	1.25	0.0	80.0
1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	68.0	2.0	1.4	3.0	1.0	71.0
1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	61.0	2.4	1.2	3.75	0.0	0.0
0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	55.0	3.8	2.0	2.75	0.0	0.0
1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	39.0	4.0	2.4	3.25	0.0	75.0
0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	69.0	1.6	1.0	2.0	87.0	19.0
0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	52.0	3.4	2.0	3.0	10.0	20.0
0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	48.0	2.0	1.6	2.0	60.0	15.0
1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	48.0	4.0	1.2	3.25	1.0	5.0
1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	42.0	3.0	1.4	3.5	50.0	50.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	34.0	4.0	2.0	3.25	0.0	96.0
1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	33.0	2.4	2.0	3.0	0.0	12.0
0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	45.0	2.8	1.0	3.25	82.0	26.0
0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	56.0	2.8	1.4	2.75	71.0	54.0
0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	53.0	2.6	1.2	2.5	60.0	24.0
0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	36.0	3.6	1.4	2.75	90.0	100.0
0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	44.0	2.8	1.0	3.0	90.0	5.0
1	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	39.0	3.2	2.2	3.5	31.0	0.0
0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	53.0	2.0	1.0	2.75	9.0	56.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	23.0	2.6	1.0	2.25	50.0	10.0
0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	50.0	2.0	1.2	2.75	50.0	50.0
1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	47.0	2.2	1.0	3.75	65.0	45.0
1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	24.0	3.6	2.8	3.5	0.0	65.0
