	feature	feature_idx	coef	se	t	p	r2
83	x17	14	0.0014930519809046151	5.0241056205803475e-05	29.717766576972338	4.991354268321847e-194	0.5791491171786263
84	x434	341	0.0014735202857864035	5.022259417170019e-05	29.339788397802714	3.5392567936387026e-189	0.5791491171786263
85	x576	444	-0.0014725150948882006	5.0239143068871946e-05	-29.310115677521726	8.454534643128256e-189	0.5791491171786263
86	x387	307	-0.0014503770327580288	5.025159365168408e-05	-28.86230917990841	3.873013375325791e-183	0.5791491171786263
87	x469	366	0.0014213687784392112	5.022592487017486e-05	28.299504331940096	3.798013857704307e-176	0.5791491171786263
88	x169	155	0.0014129461767072307	5.024945234700059e-05	28.11863832763881	6.2697336597426985e-174	0.5791491171786263
89	x268	217	0.0013557946547269608	5.02343382753406e-05	26.98940010507719	2.10359358282087e-160	0.5791491171786263
90	x160	146	0.0013115625282389017	5.0218322036598654e-05	26.117211309510637	2.464214471377896e-150	0.5791491171786263
91	x391	311	-0.0012748595887257996	5.019093336749045e-05	-25.400196872042002	2.643683917711517e-142	0.5791491171786263
92	x435	342	0.000997202706241995	5.0193923286758e-05	19.86700064358336	8.011130842958625e-88	0.5791491171786263
93	x384	304	-0.000969433685806526	5.0212971923941095e-05	-19.306439126426387	4.82509409417712e-83	0.5791491171786263
94	x134	124	0.0009050405301929099	5.024021579808689e-05	18.01426438592991	1.5257658265329338e-72	0.5791491171786263
95	x335	270	0.0009047928089643645	5.0232388731602764e-05	18.01213981279634	1.585465147207546e-72	0.5791491171786263
96	x154	142	0.0006444691236700164	5.0233464779835256e-05	12.829477848972097	1.1250216330436856e-37	0.5791491171786263
