	feature	feature_idx	coef	se	t	p	r2
87	x160	146	0.0036954546784821	0.0001469147376583	25.153737040832134	1.352429345216148e-139	0.6128953640372568
88	x79	71	-0.0035786649395299	0.0001469094744059	-24.359660627746752	4.786848517513578e-131	0.6128953640372568
89	x318	260	-0.0030309529796982	0.0001469528253058	-20.625346762740385	1.6629786308848647e-94	0.6128953640372568
90	x154	142	0.0029636488358016	0.0001469548309916	20.16707321429157	1.9459055044405638e-90	0.6128953640372568
91	x84	76	0.0029399333663602	0.0001468963908374	20.01365281746521	4.273313314403236e-89	0.6128953640372568
92	x583	451	-0.0027978952278436	0.0001470358416332	-19.02866128942379	1.0038367949971422e-80	0.6128953640372568
93	x281	229	-0.0023522307059817	0.0001469814776334	-16.00358592017494	1.2162359860752648e-57	0.6128953640372568
94	x181	165	-0.0022852279136525	0.0001469817810317	-15.54769507902162	1.6615477363828558e-54	0.6128953640372568
95	x335	270	0.0022623449314334	0.0001469953047327	15.3905931590552	1.9063253009219461e-53	0.6128953640372568
96	x88	79	-0.0020989601466563	0.0001469917523858	-14.279441618916616	2.9549383829737984e-46	0.6128953640372568
97	x438	345	0.001488033367201	0.0001468998075302	10.129580101011156	4.089477014319334e-24	0.6128953640372568
