	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
63	0	x128	118	50	1.0	50	-0.006920061120626498	3.2952499304509805e-05	-0.0069530136199310085	-0.006887108621321988
64	0	x118	108	50	1.0	50	-0.008248156044063084	3.1772867203024655e-05	-0.008279928911266108	-0.00821638317686006
65	0	x317	259	50	1.0	50	-0.008291691604676018	3.403537541428909e-05	-0.008325726980090308	-0.008257656229261728
66	0	x332	267	50	1.0	50	-0.008537337169048255	3.378692649552742e-05	-0.008571124095543782	-0.008503550242552728
67	0	x384	304	50	1.0	50	-0.008604457296105572	2.87401530558691e-05	-0.008633197449161441	-0.008575717143049702
68	0	x113	103	50	1.0	50	-0.008808684528892639	2.861120742347751e-05	-0.008837295736316116	-0.008780073321469161
69	0	x85	77	50	1.0	50	-0.009040371688915182	3.391645487274825e-05	-0.009074288143787931	-0.009006455234042433
70	0	x580	448	50	1.0	50	-0.009840200448394171	3.626422811261422e-05	-0.009876464676506786	-0.009803936220281556
71	0	x578	446	50	1.0	50	-0.011262280044605959	2.984552433074899e-05	-0.011292125568936709	-0.01123243452027521
72	0	x91	82	50	1.0	50	-0.01188413326218261	3.1708780151218016e-05	-0.011915842042333829	-0.011852424482031393
73	0	x18	15	50	1.0	50	-0.01246501789550482	3.3064543356750124e-05	-0.01249808243886157	-0.01243195335214807
74	0	x11	9	50	1.0	50	-0.012596159129917945	3.116695998254735e-05	-0.012627326089900493	-0.012564992169935398
75	0	x446	353	50	1.0	50	-0.01260425371814736	3.474584421641174e-05	-0.012638999562363772	-0.012569507873930949
76	0	x36	33	50	1.0	50	-0.0142221471056518	3.470416852460352e-05	-0.014256851274176405	-0.014187442937127197
77	0	x581	449	50	1.0	50	-0.014786260580746016	2.9745857435889922e-05	-0.014816006438181905	-0.014756514723310127
78	0	x311	256	50	1.0	50	-0.015026275092823987	3.5700439053456705e-05	-0.015061975531877443	-0.01499057465377053
79	0	x512	396	50	1.0	50	-0.01511784408963046	2.844623127043738e-05	-0.015146290320900898	-0.015089397858360021
80	0	x38	35	50	1.0	50	-0.015282957213134383	3.0439647833843625e-05	-0.015313396860968227	-0.01525251756530054
81	0	x390	310	50	1.0	50	-0.015704289777485638	3.2705310919898104e-05	-0.015736995088405537	-0.01567158446656574
82	0	x324	265	50	1.0	50	-0.016247145868619455	2.8057745363926737e-05	-0.016275203613983383	-0.016219088123255527
83	0	x49	45	50	1.0	50	-0.017533743173477546	3.514489341431855e-05	-0.017568888066891865	-0.017498598280063227
84	0	x474	371	50	1.0	50	-0.017937681453742648	3.0917958182232196e-05	-0.01796859941192488	-0.017906763495560415
85	0	x144	133	50	1.0	50	-0.018441354602445826	3.8292613477420216e-05	-0.018479647215923246	-0.018403061988968406
86	0	x282	230	50	1.0	50	-0.019804778053628867	2.679175546593588e-05	-0.019831569809094802	-0.019777986298162933
87	0	x247	207	50	1.0	50	-0.020585992603467624	3.174845422832553e-05	-0.02061774105769595	-0.020554244149239297
88	0	x103	93	50	1.0	50	-0.026508884560898806	3.382645508810845e-05	-0.026542711015986913	-0.0264750581058107
89	0	x518	398	50	1.0	50	-0.026948573199447764	2.9197407390043536e-05	-0.026977770606837807	-0.02691937579205772
90	0	x274	223	50	1.0	50	-0.02903276541244096	4.197639515377365e-05	-0.029074741807594732	-0.028990789017287185
91	0	x1	0	50	1.0	50	-0.029036002559025678	2.703573495122055e-05	-0.029063038293976898	-0.02900896682407446
92	0	x563	431	50	1.0	50	-0.030773056943677535	3.0116853582046104e-05	-0.03080317379725958	-0.03074294009009549
93	0	x58	52	50	1.0	50	-0.030909424961602757	3.568635281192422e-05	-0.030945111314414683	-0.03087373860879083
94	0	x7	5	50	1.0	50	-0.038195724201242044	3.7579278130424854e-05	-0.03823330347937247	-0.03815814492311162
95	0	x378	302	50	1.0	50	-0.0707263932245038	3.2559981160535384e-05	-0.07075895320566433	-0.07069383324334327
96	0	x141	131	50	1.0	50	-0.07176822739295237	4.508855620785532e-05	-0.07181331594916023	-0.07172313883674451
97	0	x387	307	43	0.86	43	-0.001304630270899064	2.76913206941359e-05	-0.0013323215915932	-0.001276938950204928
98	0	x169	155	16	0.32	16	0.0010972650159803874	3.1343183847521985e-05	0.0010659218321328655	0.0011286081998279093
99	0	x541	409	4	0.08	4	-0.0011205869058802226	0.00011646656252823099	-0.0012370534684084536	-0.0010041203433519916
100	1	x386	306	50	1.0	50	0.028152874138540757	6.777941054925099e-06	0.028146096197485832	0.02815965207959568
101	1	x92	83	50	1.0	50	0.01561664448519055	6.546774303075249e-06	0.015610097710887475	0.015623191259493624
102	1	x248	208	50	1.0	50	0.010524351912348837	6.9424158413996115e-06	0.010517409496507438	0.010531294328190235
103	1	x288	235	50	1.0	50	0.007657645952930586	7.452933939295881e-06	0.007650193018991291	0.007665098886869882
104	1	x8	6	50	1.0	50	0.007328099266988013	6.765958341792009e-06	0.007321333308646221	0.007334865225329805
105	1	x424	331	50	1.0	50	0.006226216511370803	6.654457919092433e-06	0.006219562053451711	0.0062328709692898955
106	1	x130	120	50	1.0	50	0.005408675520562375	6.2425187676579734e-06	0.005402433001794717	0.0054149180393300335
107	1	x17	14	50	1.0	50	0.005252136627260981	7.437373402072033e-06	0.005244699253858909	0.005259574000663053
