,Name,URL,Ingredients
135,Hawaiian Cocktail,https://www.thecocktaildb.com/drink/11472-Hawaiian-Cocktail,"gin, triple sec, Pineapple"
136,Jewel Of The Nile,https://www.thecocktaildb.com/drink/11566-Jewel-Of-The-Nile,"gin, chartreuse, chartreuse"
137,Lady Love Fizz,https://www.thecocktaildb.com/drink/11634-Lady-Love-Fizz,"gin, cream, sugar, lemon, egg white, water"
138,London Town,https://www.thecocktaildb.com/drink/11662-London-Town,"gin, maraschino liqueur, orange bitters"
139,Lone Tree Cocktail,https://www.thecocktaildb.com/drink/11664-Lone-Tree-Cocktail,"sweet vermouth, gin"
140,Lone Tree Cooler,https://www.thecocktaildb.com/drink/11666-Lone-Tree-Cooler,"water, gin, vermouth, sugar, orange spiral, Lemon"
141,Martinez Cocktail,https://www.thecocktaildb.com/drink/11720-Martinez-Cocktail,"gin, vermouth, triple sec, orange bitters, cherry"
142,Martini,https://www.thecocktaildb.com/drink/11728-Martini,"gin, vermouth, olive"
143,Orange Oasis,https://www.thecocktaildb.com/drink/11870-Orange-Oasis,"brandy, gin, orange, ginger ale"
144,Pink Gin,https://www.thecocktaildb.com/drink/11936-Pink-Gin,"bitters, gin"
145,Pink Lady,https://www.thecocktaildb.com/drink/11938-Pink-Lady,"gin, grenadine, cream, egg white"
146,Poppy Cocktail,https://www.thecocktaildb.com/drink/11959-Poppy-Cocktail,"gin, creme de cacao"
147,Queen Elizabeth,https://www.thecocktaildb.com/drink/11991-Queen-Elizabeth,"vermouth, gin, benedictine"
148,Royal Fizz,https://www.thecocktaildb.com/drink/12055-Royal-Fizz,"gin, , egg, coca-cola"
149,Royal Gin Fizz,https://www.thecocktaildb.com/drink/12057-Royal-Gin-Fizz,"gin, lemon, sugar, egg, water"
150,Salty Dog,https://www.thecocktaildb.com/drink/12107-Salty-Dog,"grapefruit, gin, salt"
151,Singapore Sling,https://www.thecocktaildb.com/drink/12214-Singapore-Sling,"brandy, grenadine, gin, , water, cherry"
152,Tom Collins,https://www.thecocktaildb.com/drink/12402-Tom-Collins,"gin, Lemon, sugar, club soda, maraschino cherry, orange"
153,Turf Cocktail,https://www.thecocktaildb.com/drink/12418-Turf-Cocktail,"vermouth, gin, anis, bitters, twist of orange peel"
154,Tuxedo Cocktail,https://www.thecocktaildb.com/drink/12420-Tuxedo-Cocktail,"vermouth, gin, maraschino liqueur, anis, orange bitters, cherry"
155,Victor,https://www.thecocktaildb.com/drink/12450-Victor,"gin, sweet vermouth, brandy"
156,Waikiki Beachcomber,https://www.thecocktaildb.com/drink/12474-Waikiki-Beachcomber,"triple sec, gin, Pineapple"
157,Imperial Cocktail,https://www.thecocktaildb.com/drink/12706-Imperial-Cocktail,"lime, gin, aperol"
158,Surf City Lifesaver,https://www.thecocktaildb.com/drink/12760-Surf-City-Lifesaver,"ouzo, baileys irish cream, gin, grand marnier"
160,AT&T,https://www.thecocktaildb.com/drink/13938-AT&T,"vodka, gin, tonic water"
161,69 Special,https://www.thecocktaildb.com/drink/13940-69-Special,"gin, 7-up, Lemon"
166,Ruby Tuesday,https://www.thecocktaildb.com/drink/17114-Ruby-Tuesday,"gin, cranberry, grenadine"
168,Aviation,https://www.thecocktaildb.com/drink/17180-Aviation,"gin, Lemon, maraschino liqueur"
