Cocktail Name,Ingredients
Means Of Preservation,"plymouth gin, elderflower liqueur, dry vermouth, celery bitters, grapefruit peel"
Paris Is Burning,"mezcal, london dry gin, pineapple juice, lemon juice, elderflower liqueur, simple syrup"
Soul Clench,"pisco, dry vermouth, pamplemousse liqueur, elderflower liqueur, falernum, grapefruit wheel"
The Jake Walk,"rhum agricole, reposado tequila, elderflower liqueur, lime juice, peychaud’s bitters, orange twist"
Kingston Negroni,"jamaica rum, campari, sweet vermouth, orange twist"
Gin Basil Smash,"gin, lemon juice, simple syrup, basil leaves, basil sprig"
Chartreuse Swizzle,"green chartreuse, velvet falernum, pineapple juice, lime juice, pineapple fronds, pineapple wedge, lime wheel"
Little Italy,"rye, sweet vermouth, cynar, cherry"
Full Windsor,"scotch, applejack, sweet vermouth, benedictine, angostura bitters, peychaud’s bitters, orange peel"
Aged Egg Nog,"bourbon, cognac, dark rum, eggs, sugar, salt, nutmeg, whole milk, heavy cream, nutmeg"
The Dnd wake me up,"whisky, coffee liqueur, cinnamon simple syrup, cinnamon stick"
California Razorblade,"aquavit, lemon juice, simple syrup, firewater bitters, cayenne pepper"
Aquavit Espresso,"aquavit, coffee liqueur, simple syrup, espresso, espresso beans"
Winter Basil Smash,"aquavit, lemon juice, simple syrup, basil leaves"
Spiced Reverse Martini,"dry vermouth, aquavit, orange bitters, lemon twist"
Million Dollar Cocktail,"gin, sweet vermouth, pineapple juice, grenadine, egg white"
Yukiguni Cocktail,"vodka, cointreau, lime juice, cherry, sugar"
Gimlet Highball,"gin, lime juice, simple syrup, club soda"
Dot Line,"bacardi, umeshu, px sherry, st germain, vinegar, coffee"
Japanese Highball,"japanese whiskey, soda water"
Oaxacan Dead,"blanco tequila, mezcal, charanda, grenadine, lime, grapefruit, falernum, angostura bitters, absinthe, pebble, collins top pebble ice, mint pineapple"
Flannel Shirt,"scotch, apple cider, averna amaro, lemon juice, demerara syrup, allspice dram, angostura bitters, orange peel"
Mid-Century Old Fashioned,"bourbon, angostura bitters, soda water, cherry, orange wheel, cherry, orange slice"
Wisconsin Old Fashioned,"brandy, angostura bitters, cherry, sugar cube, orange wheel, sprite, cherry, orange wheel"
Sabbatical,"rum, bénédictine, lemon juice, orgeat, lemon wheel, nutmeg"
Yuletide Peril,"bourbon, rhum, amaretto, allspice dram, lemon juice, orange juice, falernum, demerara syrup, angostura bitters, grated nutmeg, cinnamon stick"
GOAT PB&J Sour,"whiskey, genever, lemon juice, raspberry jam"
Forbidden Fruit,"gin, creme de cassis, pernod, lemon juice, simple syrup"
